Area,Item,Unit,Value,,Number,Cereal,Starchy Roots,Sugar,Pulses,Treenuts,Vegetables,Fruits,Meat,Milk,Fish,Country total,,
Brazil,Cereals - Excluding Beer,1000 tonnes,31192,,Brazil,31192,87,29338,123,49,375,11447,7227,144,90,80072,,
Brazil,Starchy Roots,1000 tonnes,87,,China,3768,886,2505,463,385,13885,5970,1741,140,9065,38808,,
Brazil,Sugar & Sweeteners,1000 tonnes,29338,,India,19770,420,2429,156,405,2673,1028,1346,289,1747,30263,,
Brazil,Pulses,1000 tonnes,123,,Russia,44115,194,952,1254,41,221,182,213,364,2713,50249,,
Brazil,Treenuts,1000 tonnes,49,,USA,93954,3845,3665,1353,2036,5083,6473,7585,11346,2633,137973,,
Brazil,Vegetables,1000 tonnes,375,,Category total,192799,5432,38889,3349,2916,22237,25100,18112,12283,16248,,,
Brazil,Fruits - Excluding Wine,1000 tonnes,11447,,,,,,,,,,,,,,,
Brazil,Meat,1000 tonnes,7227,,percentage calculation by countries ,,,,,,,,,,,,,
Brazil,Eggs,1000 tonnes,17,,Percentage,Cereal,Starchy Roots,Sugar,Pulses,Treenuts,Vegetables,Fruits,Meat,Milk,Fish,Export total,Production total,Export%
Brazil,Milk - Excluding Butter,1000 tonnes,144,,Brazil,38.95494055,0.108652213,36.63952443,0.153611749,0.061194925,0.468328504,14.2958837,9.025626936,0.179838146,0.112398841,80072,300425,26.65290838
Brazil,"Fish, Seafood",1000 tonnes,90,,China,9.709338281,2.283034426,6.454854669,1.193052979,0.992063492,35.77870542,15.3834261,4.486188415,0.360750361,23.35858586,38808,1866806,2.078844829
China,Cereals - Excluding Beer,1000 tonnes,3768,,India,65.32729736,1.387833328,8.026302746,0.51548095,1.338267852,8.832567822,3.396887288,4.447675379,0.954961504,5.772725771,30263,840792,3.599344428
China,Starchy Roots,1000 tonnes,886,,Russia,87.7927919,0.386077335,1.894565066,2.495572051,0.081593664,0.439809747,0.362196263,0.423889033,0.724392525,5.39911242,50249,249063,20.17521671
